Promotion ID,Description,Start date,End date,oduct,Area,Type,Discount,Channel
0,Winter Sale,"Jan 1, 2019 12:00:00 AM","Jan 1, 2019 12:00:00 AM",62,italy,Other,0.583401707,TV
1,Spring Big sale,"Mar 1, 2019 12:00:00 AM","Mar 1, 2019 12:00:00 AM",31,Italy,Free items,0.5678077186,Phone
2,Summer Event,"Jun 1, 2019 12:00:00 AM","Jun 1, 2019 12:00:00 AM",36,Italy,Free items,0.6508286608,Web
3,Fall Push,"Aug 1, 2019 12:00:00 AM","Aug 1, 2019 12:00:00 AM",62,IT,Instant rebate,0.6663442283,TV
4,Summer Event,"Nov 1, 2019 12:00:00 AM","Nov 1, 2019 12:00:00 AM",86,IT,Other,0.1900369371,TV
5,Winter Sale,"Dec 1, 2019 12:00:00 AM","Dec 1, 2019 12:00:00 AM",19,Italy,Other,0.6090107493,Email
6,Summer Event,"Jan 1, 2019 12:00:00 AM","Jan 1, 2019 12:00:00 AM",81,USA,Other,0.4530143673,Store floor
7,Spring Push,"Mar 1, 2019 12:00:00 AM","Mar 1, 2019 12:00:00 AM",21,United States,Instant rebate,0.2830899444,Store floor
8,Summer Push,"Jun 1, 2019 12:00:00 AM","Jun 1, 2019 12:00:00 AM",6,United States,Instant rebate,0.2575679009,Web
9,Fall Big sale,"Aug 1, 2019 12:00:00 AM","Aug 1, 2019 12:00:00 AM",23,America,Other,0.6638474015,Radio
10,Fall Price slash,"Nov 1, 2019 12:00:00 AM","Nov 1, 2019 12:00:00 AM",16,united states,Free items,0.7297984325,Phone
11,Winter Salenado,"Dec 1, 2019 12:00:00 AM","Dec 1, 2019 12:00:00 AM",90,usa,Mail-in rebate,0.7467217013,TV
12,Winter Push,"Jan 1, 2019 12:00:00 AM","Jan 1, 2019 12:00:00 AM",16,spain,Instant rebate,0.1527181851,TV
13,Fall Event,"Mar 1, 2019 12:00:00 AM","Mar 1, 2019 12:00:00 AM",62,Spain,Instant rebate,0.2853299731,TV
14,Summer Big sale,"Jun 1, 2019 12:00:00 AM","Jun 1, 2019 12:00:00 AM",46,spain,Mail-in rebate,0.1111390519,Phone
15,Summer Price slash,"Aug 1, 2019 12:00:00 AM","Aug 1, 2019 12:00:00 AM",80,Spain,Instant rebate,0.3250745113,Store floor
16,Spring Sale,"Nov 1, 2019 12:00:00 AM","Nov 1, 2019 12:00:00 AM",59,SP,Mail-in rebate,0.2411392244,Web
17,Summer Salenado,"Dec 1, 2019 12:00:00 AM","Dec 1, 2019 12:00:00 AM",96,SPAIN,Mail-in rebate,0.2173080714,Web
18,Summer Push,"Jan 1, 2019 12:00:00 AM","Jan 1, 2019 12:00:00 AM",61,canada,Free items,0.3793896301,TV
19,Winter Big sale,"Mar 1, 2019 12:00:00 AM","Mar 1, 2019 12:00:00 AM",28,canada,Instant rebate,0.5967991268,Store floor
20,Spring Event,"Jun 1, 2019 12:00:00 AM","Jun 1, 2019 12:00:00 AM",65,CANADA,Free items,0.1245738376,Web
21,Fall Salenado,"Aug 1, 2019 12:00:00 AM","Aug 1, 2019 12:00:00 AM",40,CA,Instant rebate,0.7429822179,Store floor
22,Summer Big sale,"Nov 1, 2019 12:00:00 AM","Nov 1, 2019 12:00:00 AM",70,ca,Other,0.7492148573,Email
